country,who_region,year_start,year_end,date_first,date_last,serotype,cases,isolates,nucleotide_first,nucleotide_smallest,nucleotide_largest,npafp_first,outbreak_days,outbrk_moreyr,start_cat,who_cat,stool_start,iso_3_code,lineage,dpt3,classification
PAKISTAN,EMR,2012,2014,30/08/2012,15/06/2014,2,81,87,6,6,33,8.28,654,Yes,pre-switch,EMR,88.6,PAK,,64,afp
PAPUA NEW GUINEA,WPR,2018,2018,25/04/2018,04/11/2018,1,26,41,14,13,24,7.9,193,No,post-switch,Other,44.7,PNG,PNG-MOR-1,35,afp
PHILIPPINES,WPR,2019,2020,26/06/2019,24/01/2020,2,14,50,61,61,70,4.3,212,No,post-switch,Other,48.1,PHL,PHL-NCR-1,65,es
PHILIPPINES,WPR,2019,2019,01/07/2019,28/11/2019,1,1,24,30,30,40,4.3,150,No,post-switch,Other,48.1,PHL,PHL-NCR-2,65,es
PHILIPPINES,WPR,2001,2001,28/03/2001,23/09/2001,1,3,4,28,28,32,NA,179,No,pre-switch,Other,60.7,PHL,,79,afp
SOMALIA,EMR,2018,2018,08/03/2018,07/09/2018,3,7,24,14,14,23,4.8,183,No,post-switch,EMR,97.7,SOM,SOM-BAN-2,42,es
SOMALIA,EMR,2017,2020,22/10/2017,04/02/2020,2,10,61,38,33,58,6.3,835,Yes,post-switch,EMR,99.1,SOM,SOM-BAN-1,42,es
SOMALIA,EMR,2008,2013,01/07/2008,09/01/2013,2,19,19,6,6,36,3.96,1653,Yes,pre-switch,EMR,99.4,SOM,,31,afp
SOUTH SUDAN,AFR,2014,2014,09/09/2014,12/09/2014,2,2,2,9,9,9,4.2,3,No,pre-switch,AFR,94.4,SSD,,50,afp
SYRIA,EMR,2017,2017,03/03/2017,21/09/2017,2,74,113,22,22,33,3.6,202,No,post-switch,EMR,80.4,SYR,SYR-1,48,afp
TOGO,AFR,2019,2020,15/11/2019,01/02/2020,2,3,5,13,13,17,4.57,78,No,post-switch,AFR,70.2,TGO,TOG-SAV-1,84,afp
UKRAINE,EUR,2015,2015,30/06/2015,07/07/2015,1,2,2,20,20,26,2.67,7,No,pre-switch,Other,97.4,UKR,,23,afp
YEMEN,EMR,2012,2013,27/04/2012,25/07/2013,3,4,6,18,18,27,4.26,454,Yes,pre-switch,EMR,93.2,YEM,,67,afp
YEMEN,EMR,2011,2011,09/04/2011,05/10/2011,2,9,11,6,6,14,3.35,179,No,pre-switch,EMR,91.5,YEM,,69,afp
ZAMBIA,AFR,2019,2019,16/07/2019,25/09/2019,2,1,3,9,9,10,3.75,71,No,post-switch,AFR,84.3,ZMB,ZAM-LUA-1,88,afp
